first,second,third,four,five,six,seven,eight,nine,ten,output
80,220,320,180,367.15,196.98,388.33,234.09,-23.19859051,200,"[1, 0, 0, 0]"
90,220,310,180,358.47,201.25,380.13,237.7,-24.77514057,190,"[0, 1, 0, 0]"
100,220,300,180,349.86,205.91,372.02,241.66,-26.56505118,180,"[0, 1, 0, 0]"
110,220,290,180,341.32,210.95,364.01,245.97,-28.61045967,170,"[0, 1, 0, 0]"
120,220,280,180,332.87,216.33,356.09,250.6,-30.96375653,160,"[0, 1, 0, 0]"
130,220,270,180,324.5,222.04,348.28,255.54,-33.69006753,150,"[0, 1, 0, 0]"
140,220,260,180,316.23,228.04,340.59,260.77,-36.86989765,140,"[0, 1, 0, 0]"
150,220,250,180,308.06,234.31,333.02,266.27,-40.60129465,130,"[0, 1, 0, 0]"
160,220,240,180,300,240.83,325.58,272.03,-45,120,"[0, 1, 0, 0]"
170,220,230,180,292.06,247.59,318.28,278.03,-50.19442891,110,"[0, 1, 0, 0]"
180,220,220,180,284.25,254.56,311.13,284.25,-56.30993247,100,"[0, 1, 0, 0]"
190,220,210,180,276.59,261.73,304.14,290.69,-63.43494882,90,"[0, 1, 0, 0]"
200,220,200,180,269.07,269.07,297.32,297.32,-71.56505118,80,"[0, 1, 0, 0]"
210,220,190,180,261.73,276.59,290.69,304.14,-80.53767779,70,"[0, 1, 0, 0]"
220,220,180,180,254.56,284.25,284.25,311.13,-90,60,"[0, 1, 0, 0]"
230,220,170,180,247.59,292.06,278.03,318.28,-99.46232221,50,"[0, 1, 0, 0]"
240,220,160,180,240.83,300,272.03,325.58,-108.4349488,40,"[0, 1, 0, 0]"
250,220,150,180,234.31,308.06,266.27,333.02,-116.5650512,30,"[0, 1, 0, 0]"
260,220,140,180,228.04,316.23,260.77,340.59,-123.6900675,20,"[0, 1, 0, 0]"
270,220,130,180,222.04,324.5,255.54,348.28,-129.8055711,10,"[0, 1, 0, 0]"
280,220,120,180,216.33,332.87,250.6,356.09,-135,0,"[0, 1, 0, 0]"
280,210,120,190,224.72,338.38,241.87,350,180,92.2,"[0, 0, 1, 0]"
280,200,120,200,233.24,344.09,233.24,344.09,180,90.55,"[0, 0, 1, 0]"
280,190,120,210,241.87,350,224.72,338.38,180,90,"[0, 0, 1, 0]"
270,190,130,210,246.98,342.05,230.22,330.15,180,80,"[0, 0, 0, 1]"
260,190,140,210,252.39,334.22,236.01,322.02,180,70,"[0, 0, 0, 1]"
250,190,150,210,258.07,326.5,242.07,314.01,180,60,"[0, 0, 0, 1]"
240,190,160,210,264.01,318.9,248.39,306.1,180,50,"[0, 0, 0, 1]"
230,190,170,210,270.19,311.45,254.95,298.33,180,40,"[0, 0, 0, 1]"
220,190,180,210,276.59,304.14,261.73,290.69,180,30,"[0, 0, 0, 1]"
210,190,190,210,283.2,296.98,268.7,283.2,180,20,"[0, 0, 0, 1]"
200,190,200,210,290,290,275.86,275.86,180,10,"[0, 0, 0, 1]"
190,190,210,210,296.98,283.2,283.2,268.7,0,0,"[0, 0, 0, 1]"
190,200,210,200,290,275.86,290,275.86,-63.43494882,30,"[1, 0, 0, 0]"
190,210,210,190,283.2,268.7,296.98,283.2,-45,40,"[1, 0, 0, 0]"
190,220,210,180,276.59,261.73,304.14,290.69,-33.69006753,50,"[1, 0, 0, 0]"
190,230,210,170,270.19,254.95,311.45,298.33,-26.56505118,60,"[1, 0, 0, 0]"
